1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-1.079522	0.000000	68.356566	0.006861	12.1
1	-1.089403	0.000000	68.356566	0.005436	0.6
2	-1.064063	0.000000	68.356566	0.005213	0.6
3	-1.091576	0.000000	68.356566	0.005793	0.6
4	-1.057717	0.000000	68.356566	0.006042	0.6
5	-1.073589	0.000000	68.356566	0.004881	0.6
6	-1.100077	0.000000	68.356566	0.004519	0.6
7	-1.092712	0.000000	68.356566	0.004862	0.7
8	-1.084239	0.000000	68.356566	0.004287	0.6
9	-1.055974	0.000000	68.356566	0.004704	0.7
10	-1.062994	0.000000	68.356566	0.004653	0.9
11	-1.096751	0.000000	68.356566	0.004264	0.7
12	-1.080115	0.000000	68.356566	0.003008	0.8
13	-1.107595	0.000000	68.356566	0.004026	0.6
14	-1.116242	0.000000	68.356566	0.004173	0.7
15	-1.087769	0.000000	68.356566	0.003425	0.6
16	-1.112967	0.000000	68.356566	0.004062	0.6
17	-1.119274	0.000000	68.356566	0.002778	0.6
18	-1.130432	0.000000	68.356566	0.003328	0.6
19	-1.096945	0.000000	68.356566	0.004494	0.9
20	-1.075306	0.000000	68.356566	0.003524	0.6
21	-1.099457	0.000000	68.356566	0.003999	0.6
22	-1.094530	0.000000	68.356566	0.003233	0.5
23	-1.123535	0.000000	68.356566	0.003016	0.6
24	-1.118439	0.000000	68.356566	0.002830	0.6
25	-1.108082	0.000000	68.356566	0.003501	0.9
26	-1.090611	0.000000	68.356566	0.003142	0.8
27	-1.121049	0.000000	68.356566	0.002751	0.5
28	-1.126294	0.000000	68.356566	0.004071	0.5
29	-1.094540	0.000000	68.356566	0.002424	0.8
30	-1.082320	0.000000	68.356566	0.003100	0.7
31	-1.109346	0.000000	68.356566	0.003198	0.8
32	-1.114071	0.000000	68.356566	0.003082	0.6
33	-1.109889	0.000000	68.356566	0.003001	0.6
34	-1.126865	0.000000	68.356566	0.003273	0.6
35	-1.092227	0.000000	68.356566	0.002806	0.6
36	-1.097410	0.000000	68.356566	0.001892	0.6
37	-1.100622	0.000000	68.356566	0.003220	0.6
38	-1.099745	0.000000	68.356566	0.002287	0.6
39	-1.108589	0.000000	68.356566	0.003373	0.6
40	-1.123362	0.000000	68.356566	0.002371	0.6
41	-1.052619	0.000000	68.356566	0.001665	0.6
42	-1.080329	0.000000	68.356566	0.002306	0.7
43	-1.129669	0.000000	68.356566	0.002364	0.6
